Document Name,Location,Category 1 (Mandatory),Category 2 (Optional),Category 3 (Optional)
Complaints policy.docx,C:\Users\classifier-admin\Desktop\Data\ACQSC (Aged Care Quality and Safety Commission)\ACQSC Complaints,Policy,,
abbeyhouseagedcare2610-6.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abbey House Aged Care,Audit,Abbey House Aged Care,
aacqa_annual_report_2017-18.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Annual Reports,Annual Report,,
aacqa_annual_report_accessibility_17_november_corrected.docx,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Annual Reports,Annual Report,,
aacqa_table_a_executive_remuneration.docx,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Annual Reports,Annual Report,Executive Remuneration,
aacqa_table_a_executive_remuneration.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Annual Reports,Annual Report,Executive Remuneration,
working_together_for_quality_aged_care_-_stakeholder_roundtable_report.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Annual Reports,Annual Report,Stakeholder Report,
aacq_annual_report_2016_accessible_web_pdf.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Annual Reports,Annual Report,,
aacq043_annual_report_2014_web_doc.docx,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Annual Reports,Annual Report,,
aacq043_annual_report_2014_web_pdf.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Annual Reports,Annual Report,,
aacqa_annual_report_2015_accessible_revised.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Annual Reports,Annual Report,,
aacqa_annual_report_2017_printed_pdf.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Annual Reports,Annual Report,,
70LoweStreet3476-6-cer.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\70 Lowe Street,Audit,70 Lowe Street,
70LoweStreet3476-6-cera.docx,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\70 Lowe Street,Audit,70 Lowe Street,
local-70lowestreet3-1242177222.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\70 Lowe Street,Audit,70 Lowe Street,
local-70lowestreet4-1336955238.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\70 Lowe Street,Audit,70 Lowe Street,
70LoweStreet5.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\70 Lowe Street,Audit,70 Lowe Street,
70lowestreet3476-6.doc.docx,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\70 Lowe Street,Audit,70 Lowe Street,
501 Respite and Care Services5385-7-cer.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\501 Care Services,Audit,501 Care Services,
