,Document Name,Location,Category 1 (Mandatory),Category 2 (Optional),Category 3 (Optional),path
0,Complaints policy.docx,C:\Users\classifier-admin\Desktop\Data\ACQSC (Aged Care Quality and Safety Commission)\ACQSC Complaints,Policy,,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'ACQSC (Aged Care Quality and Safety Commission)', 'ACQSC Complaints']"
1,abbeyhouseagedcare2610-6.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abbey House Aged Care,Audit,Abbey House Aged Care,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abbey House Aged Care']"
2,aacqa_annual_report_2017-18.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Annual Reports,Annual Report,,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Annual Reports']"
3,aacqa_annual_report_accessibility_17_november_corrected.docx,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Annual Reports,Annual Report,,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Annual Reports']"
4,aacqa_table_a_executive_remuneration.docx,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Annual Reports,Annual Report,Executive Remuneration,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Annual Reports']"
5,aacqa_table_a_executive_remuneration.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Annual Reports,Annual Report,Executive Remuneration,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Annual Reports']"
6,working_together_for_quality_aged_care_-_stakeholder_roundtable_report.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Annual Reports,Annual Report,Stakeholder Report,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Annual Reports']"
7,aacq_annual_report_2016_accessible_web_pdf.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Annual Reports,Annual Report,,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Annual Reports']"
8,aacq043_annual_report_2014_web_doc.docx,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Annual Reports,Annual Report,,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Annual Reports']"
9,aacq043_annual_report_2014_web_pdf.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Annual Reports,Annual Report,,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Annual Reports']"
10,aacqa_annual_report_2015_accessible_revised.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Annual Reports,Annual Report,,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Annual Reports']"
11,aacqa_annual_report_2017_printed_pdf.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Annual Reports,Annual Report,,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Annual Reports']"
