nodes,node_labels,adj_labels,adj_nodes
Data,FOLDER,"['FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FILE', 'FILE', 'FILE', 'FILE']","['AACQA (Australian Aged Care Quality Agency)', 'ACQSC (Aged Care Quality and Safety Commission)', 'Aged Care Complaints Commissioner', 'Handbooks', 'Best in Care Australia - Actions.pdf', 'Bupa Seaforth - Actions.pdf', 'PCA018_Guiding-Principles-for-PC-Aged-Care_W03-002.pdf', 'Sector performance_External report definitions.pdf']"
AACQA (Australian Aged Care Quality Agency),FOLDER,"['FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FILE', 'FILE', 'FILE']","['Data', 'AACQA Audits', 'AACQA Draft Guidance Material', 'AACQA Annual Reports', 'AACQA Corporate Plan', 'AACQA Handbooks', 'AACQA Newsletters', 'AACQA NOUS Report', 'AACQA Self Assessment', 'AACQA Standards Guidance Reference Group', 'AACQA Statements', 'Memorandum of Understanding', 'La Trobe Literature review final report 9 March 2018 PDF.pdf', 'la_trobe_analysis_of_cer_data.pdf', 'report_on_review_of_infection_control_in_residential_aged_care_in_australia_april_2018.pdf']"
AACQA Audits,FOLDER,"['FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FILE', 'FILE', 'FILE', 'FILE']","['AACQA (Australian Aged Care Quality Agency)', '501 Care Services', '70 Lowe Street', 'A H Orr Lodge', 'A.G.Eastwood Hostel', 'Abberfield Aged Care Facility', 'Abbey House Aged Care', 'Abbeyfield House Hostel', 'Abel Tasman Village', 'Abernethy Nursing Home', 'Acacia Living Group Meadow Springs Aged', 'ACDMA Aged Hostel', 'ACH Group Residential Care', 'Colton Court Nursing', 'Highercombe', 'Kapara Nursing Home', 'Milpara Aged Care Facility', 'Mingarra Hostel', 'Perry Park Hostel', 'Perry Park Nursing Home', 'RSL Menora Gardens Aged Care Facility', 'RSL War Veterans Home Mandurah', 'The Abbey Nursing Home', 'AACQAConsumerExperienceReportTrends.pdf', 'Phase 2 report - FINAL - June 2018.pdf', 'quality_agency_regulator_performance_measures.pdf', 'Transcriptwebinarunnanounced5June18.pdf']"
AACQA Draft Guidance Material,FOLDER,"['FOLDER', 'FOLDER', 'FILE', 'FILE', 'FILE']","['AACQA (Australian Aged Care Quality Agency)', 'Feedback', 'Pilot Process Report - Draft Aged Care Quality Standards and Guidance -Word.docx', 'Pilot Process Report - Draft Aged Care Quality Standards and Guidance.pdf', 'plug-in_report_-_consumer_consultation.pdf']"
ACQSC (Aged Care Quality and Safety Commission),FOLDER,"['FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER']","['Data', 'ACQSC Accreditation', 'ACQSC Aged Care Quality Standards', 'ACQSC Charter of Aged Care Rights', 'Memorandum of Understanding', 'ACQSC Annual Reports', 'ACQSC Complaints', 'ACQSC Consumer Experience', 'ACQSC Dept Health', 'ACQSC Handbooks', 'ACQSC Human Resources', 'ACQSC Key changes for providers', 'ACQSC Newsletter', 'ACQSC Notice of Collection', 'ACQSC Regulatory Bulletin', 'ACQSC Sector Performance', 'ACQSC Statements', 'COVID-19', 'Other']"
ACQSC Accreditation,FOLDER,"['FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE']","['ACQSC (Aged Care Quality and Safety Commission)', 'HammondCare - Miranda', 'Minda Nursing Home', 'Newmarch House', 'St Elizabeth Home', 'St Vincent’s Care Services Heathcote', 'accreditation_standards_fact_sheet_updated.pdf', 'Existing_Approved_Provider _Application for approval to provide aged care_052020.docx', 'Government_Organisation_form.docx', 'guide_to_assessment_of_chsp_services.pdf', 'information_sheet_for_providers_-_initial_documents_requested.pdf', 'New_applicant_Application for approval to provide aged care_052020.docx', 'notification_of_a_material_change.docx', 'Service Compliance Ratings - high level factsheet for providers_0.docx', 'Service Compliance Ratings - high level factsheet for providers_0.pdf']"
ACQSC Aged Care Quality Standards,FOLDER,"['FOLDER', 'FOLDER', 'FOLDER', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE']","['ACQSC (Aged Care Quality and Safety Commission)', 'Aged Care Quality Standards Storyboards', 'Quality Standards Consumer Outcome Poster', 'ACQSC_New_Standards_Transitional_Arrangements_Factsheet_v1.1.pdf', 'Aged Care Quality Standards.pdf', 'flexible_aged_care_program_standards_updated.pdf', 'Guidance_&_Resource_V9.pdf', 'home care common standards v1.1.pdf', 'NATSIFACP Quality Review Guidelines July 2019.docx', 'Plan for continuous improvement (Quality Standards).docx', 'Quality assessor re-registration information_sheet.docx', 'Quality assessor registration information_sheet.docx', 'quality_assessor_conflict_of_interest_policy.pdf', 'regulatory_strategy_jan_1_2020_v2.1.docx', 'regulatory_strategy_jan_1_2020_v2.1.pdf']"
ACQSC Charter of Aged Care Rights,FOLDER,"['FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FILE', 'FILE', 'FILE', 'FILE']","['ACQSC (Aged Care Quality and Safety Commission)', 'A Little Yarn', 'Assault', 'Charter of Rights Booklet', 'Restrain Scenarios', 'accessible_version_-_approved_by_online_comms_-_charter_poster.docx', 'acqsc_charter_of_rights_poster_a3_v7_lr.pdf', 'Charter of Aged Care Rights - Template for Signing.docx', 'Charter of Aged Care Rights - Template for Signing.pdf']"
Aged Care Complaints Commissioner,FOLDER,"['FOLDER', 'FOLDER', 'FOLDER']","['Data', 'Annual Reports', 'Corporate Plan']"
Handbooks,FOLDER,"['FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FOLDER', 'FILE', 'FILE', 'FILE']","['Data', 'COVID-19', 'Advance Care Planning', 'Clinical Care Standards', 'Dementia', 'Diabetes', 'Food and Nutrition', 'Mental Health', 'Sexual Assessment', 'National-Consensus-Statement-Essential-Elements-forsafe-high-quality-end-of-life-care.pdf', 'National-Guidelines-for-Spiritual-Care-in-Aged-Care-DIGITAL.pdf', 'NFP-Principles-and-Guidance-131015.pdf']"
